data,hora,time_casa,time_fora,gols_casa,gols_fora
"Saturday, May 9 2015",22:30,Palmeiras,Atletico MG,2,2
"Saturday, May 9 2015",22:30,Chapecoense AF,Coritiba,2,1
"Sunday, May 10 2015",01:00,Fluminense,Joinville,1,0
"Sunday, May 10 2015",15:00,Gremio,Ponte Preta,3,3
"Sunday, May 10 2015",20:00,Cruzeiro,Corinthians,0,1
"Sunday, May 10 2015",20:00,Atletico PR,Internacional,3,0
"Sunday, May 10 2015",20:00,Sport,Figueirense,4,1
"Sunday, May 10 2015",20:00,Sao Paulo,Flamengo,2,1
"Sunday, May 10 2015",22:30,Avai FC,Santos FC,1,1
"Sunday, May 10 2015",22:30,Vasco da Gama,Goias,0,0
"Saturday, May 16 2015",22:30,Coritiba,Gremio,2,0
"Saturday, May 16 2015",22:30,Goias,Atletico PR,2,0
"Sunday, May 17 2015",01:00,Corinthians,Chapecoense AF,1,0
"Sunday, May 17 2015",15:00,Figueirense,Vasco da Gama,0,0
"Sunday, May 17 2015",20:00,Atletico MG,Fluminense,4,1
"Sunday, May 17 2015",20:00,Santos FC,Cruzeiro,1,0
"Sunday, May 17 2015",20:00,Flamengo,Sport,2,2
"Sunday, May 17 2015",22:30,Internacional,Avai FC,1,0
"Sunday, May 17 2015",22:30,Joinville,Palmeiras,0,0
"Sunday, May 17 2015",22:30,Ponte Preta,Sao Paulo,1,0
"Saturday, May 23 2015",22:30,Sao Paulo,Joinville,3,0
"Saturday, May 23 2015",22:30,Vasco da Gama,Internacional,1,1
"Sunday, May 24 2015",01:00,Gremio,Figueirense,1,0
"Sunday, May 24 2015",15:00,Palmeiras,Goias,0,1
"Sunday, May 24 2015",20:00,Fluminense,Corinthians,0,0
"Sunday, May 24 2015",20:00,Avai FC,Flamengo,2,1
"Sunday, May 24 2015",20:00,Atletico PR,Atletico MG,1,0
"Sunday, May 24 2015",20:00,Chapecoense AF,Santos FC,1,0
"Sunday, May 24 2015",22:30,Sport,Coritiba,1,0
"Sunday, May 24 2015",22:30,Cruzeiro,Ponte Preta,1,1
"Saturday, May 30 2015",22:30,Ponte Preta,Chapecoense AF,3,1
"Saturday, May 30 2015",22:30,Coritiba,Avai FC,1,2
"Sunday, May 31 2015",01:00,Joinville,Atletico PR,1,2
"Sunday, May 31 2015",15:00,Santos FC,Sport,2,2
"Sunday, May 31 2015",20:00,Goias,Gremio,1,1
"Sunday, May 31 2015",20:00,Internacional,Sao Paulo,0,0
"Sunday, May 31 2015",20:00,Atletico MG,Vasco da Gama,3,0
"Sunday, May 31 2015",20:00,Corinthians,Palmeiras,0,2
"Sunday, May 31 2015",22:30,Figueirense,Cruzeiro,2,1
"Sunday, May 31 2015",22:30,Flamengo,Fluminense,2,3
"Wednesday, Jun 3 2015",23:30,Atletico PR,Figueirense,1,0
"Wednesday, Jun 3 2015",23:30,Chapecoense AF,Joinville,2,0
"Wednesday, Jun 3 2015",23:30,Vasco da Gama,Ponte Preta,0,3
"Thursday, Jun 4 2015",01:00,Sao Paulo,Santos FC,3,2
"Thursday, Jun 4 2015",02:00,Gremio,Corinthians,3,1
"Thursday, Jun 4 2015",02:00,Cruzeiro,Flamengo,1,0
"Thursday, Jun 4 2015",02:00,Avai FC,Atletico MG,1,4
"Thursday, Jun 4 2015",20:00,Fluminense,Coritiba,2,0
"Friday, Jun 5 2015",01:00,Palmeiras,Internacional,1,1
"Friday, Jun 5 2015",01:00,Sport,Goias,1,0
"Saturday, Jun 6 2015",22:30,Santos FC,Ponte Preta,2,2
"Saturday, Jun 6 2015",22:30,Flamengo,Chapecoense AF,1,0
"Saturday, Jun 6 2015",22:30,Atletico MG,Cruzeiro,1,3
"Sunday, Jun 7 2015",02:00,Atletico PR,Vasco da Gama,2,0
"Sunday, Jun 7 2015",02:00,Joinville,Corinthians,0,1
"Sunday, Jun 7 2015",02:00,Sao Paulo,Gremio,2,0
"Sunday, Jun 7 2015",15:00,Internacional,Coritiba,2,0
"Sunday, Jun 7 2015",23:30,Figueirense,Palmeiras,2,1
"Sunday, Jun 7 2015",23:30,Goias,Avai FC,0,1
"Sunday, Jun 7 2015",23:30,Fluminense,Sport,0,0
"Wednesday, Jun 10 2015",23:30,Atletico MG,Santos FC,2,2
"Saturday, Jun 13 2015",20:30,Coritiba,Flamengo,0,1
"Saturday, Jun 13 2015",20:30,Chapecoense AF,Sao Paulo,0,1
"Saturday, Jun 13 2015",20:30,Corinthians,Internacional,2,1
"Sunday, Jun 14 2015",01:00,Sport,Joinville,2,1
"Sunday, Jun 14 2015",01:00,Vasco da Gama,Cruzeiro,1,3
"Sunday, Jun 14 2015",15:00,Ponte Preta,Goias,0,0
"Sunday, Jun 14 2015",20:00,Gremio,Atletico PR,2,1
"Sunday, Jun 14 2015",20:00,Avai FC,Figueirense,1,1
"Sunday, Jun 14 2015",20:00,Palmeiras,Fluminense,2,1
"Friday, Jun 19 2015",01:00,Figueirense,Internacional,0,0
"Saturday, Jun 20 2015",20:30,Sport,Vasco da Gama,2,1
"Saturday, Jun 20 2015",20:30,Santos FC,Corinthians,1,0
"Saturday, Jun 20 2015",20:30,Flamengo,Atletico MG,0,2
"Sunday, Jun 21 2015",01:00,Gremio,Palmeiras,1,0
"Sunday, Jun 21 2015",15:00,Cruzeiro,Chapecoense AF,0,1
"Sunday, Jun 21 2015",20:00,Atletico PR,Coritiba,2,2
"Sunday, Jun 21 2015",20:00,Joinville,Goias,2,1
"Sunday, Jun 21 2015",20:00,Sao Paulo,Avai FC,1,1
"Wednesday, Jun 24 2015",23:30,Fluminense,Ponte Preta,2,0
"Saturday, Jun 27 2015",20:00,Chapecoense AF,Sport,1,1
"Saturday, Jun 27 2015",20:00,Avai FC,Gremio,1,2
"Sunday, Jun 28 2015",01:00,Corinthians,Figueirense,2,1
"Sunday, Jun 28 2015",15:00,Atletico MG,Joinville,1,0
"Sunday, Jun 28 2015",20:00,Ponte Preta,Atletico PR,2,1
"Sunday, Jun 28 2015",20:00,Coritiba,Cruzeiro,1,0
"Sunday, Jun 28 2015",20:00,Goias,Fluminense,1,2
"Sunday, Jun 28 2015",20:00,Palmeiras,Sao Paulo,4,0
"Sunday, Jun 28 2015",22:30,Vasco da Gama,Flamengo,1,0
"Sunday, Jun 28 2015",22:30,Internacional,Santos FC,1,0
"Wednesday, Jul 1 2015",23:30,Vasco da Gama,Avai FC,1,0
"Wednesday, Jul 1 2015",23:30,Sport,Internacional,3,0
"Thursday, Jul 2 2015",01:00,Atletico MG,Coritiba,2,0
"Thursday, Jul 2 2015",01:00,Palmeiras,Chapecoense AF,2,0
"Thursday, Jul 2 2015",02:00,Gremio,Cruzeiro,1,0
"Thursday, Jul 2 2015",02:00,Joinville,Flamengo,0,1
"Thursday, Jul 2 2015",02:00,Atletico PR,Sao Paulo,2,1
"Thursday, Jul 2 2015",23:30,Figueirense,Goias,3,1
"Thursday, Jul 2 2015",23:30,Corinthians,Ponte Preta,2,0
"Friday, Jul 3 2015",01:00,Fluminense,Santos FC,2,1
"Saturday, Jul 4 2015",19:00,Coritiba,Joinville,0,0
"Sunday, Jul 5 2015",01:00,Cruzeiro,Atletico PR,2,0
"Sunday, Jul 5 2015",01:00,Chapecoense AF,Vasco da Gama,1,0
"Sunday, Jul 5 2015",15:00,Avai FC,Sport,2,2
"Sunday, Jul 5 2015",20:00,Goias,Corinthians,0,0
"Sunday, Jul 5 2015",20:00,Sao Paulo,Fluminense,0,0
"Sunday, Jul 5 2015",20:00,Santos FC,Gremio,1,3
"Sunday, Jul 5 2015",22:30,Ponte Preta,Palmeiras,0,2
"Sunday, Jul 5 2015",22:30,Flamengo,Figueirense,1,2
"Sunday, Jul 5 2015",22:30,Internacional,Atletico MG,1,3
"Wednesday, Jul 8 2015",23:30,Chapecoense AF,Gremio,1,0
"Wednesday, Jul 8 2015",23:30,Coritiba,Ponte Preta,0,0
"Wednesday, Jul 8 2015",23:30,Goias,Santos FC,4,1
"Thursday, Jul 9 2015",01:00,Figueirense,Joinville,0,2
"Thursday, Jul 9 2015",01:00,Palmeiras,Avai FC,3,0
"Thursday, Jul 9 2015",02:00,Atletico MG,Sport,2,1
"Thursday, Jul 9 2015",02:00,Vasco da Gama,Sao Paulo,0,4
"Thursday, Jul 9 2015",02:00,Internacional,Flamengo,1,2
"Thursday, Jul 9 2015",23:30,Corinthians,Atletico PR,2,0
"Friday, Jul 10 2015",01:00,Fluminense,Cruzeiro,1,0
